Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Port_km,Nearest_Port,Port_Size,Port_Traffic,Distance_to_Lane_km,Nearest_Lane,Lane_Traffic,Vessel_Score,Port_Distance_Category,Lane_Distance_Category,Vessel_Traffic_Level
18275,5,59.19205,5.870067,Zone 1: Southern (58-60°N),Kjeringå,Occasional (3-5 years),Mid-Fjord,False,34.0,Stavanger,major,95,55.2,Stavanger-Bergen,100,2.3,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
18639,5,59.39232,5.883333,Zone 1: Southern (58-60°N),Halsavika,Occasional (3-5 years),Mid-Fjord,False,33.2,Haugesund,medium,65,36.0,Stavanger-Bergen,100,2.8,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
18657,10,61.1567,5.133983,Zone 2: Western (60-63°N),Skredstivik,Persistent (9-10 years),Mid-Fjord,True,49.9,Florø,medium,45,46.5,Bergen-Ålesund,90,2.0,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
18717,1,67.132286,14.313183,Zone 4: Northern (66-69°N),Hammarvika,Sporadic (0-2 years),Inner Fjord,False,19.1,Bodø,major,80,178.1,Bodø-Tromsø,75,2.8,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
18755,4,64.74997,11.394183,Zone 3: Mid (63-66°N),Klungset,Occasional (3-5 years),Mid-Fjord,False,28.3,Namsos,small,25,82.0,Trondheim-Bodø,80,2.3,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
18898,3,60.455517,5.627417,Zone 2: Western (60-63°N),Skaftå,Occasional (3-5 years),Mid-Fjord,False,19.1,Bergen,major,100,90.0,Stavanger-Bergen,100,3.0,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
18936,3,65.68622,12.138533,Zone 3: Mid (63-66°N),Igerøy Ø,Occasional (3-5 years),Mid-Fjord,False,21.0,Brønnøysund,small,30,39.4,Trondheim-Bodø,80,3.5,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
19015,10,63.333534,9.180583,Zone 3: Mid (63-66°N),Stokkvika,Persistent (9-10 years),Mid-Fjord,True,61.5,Trondheim,major,95,61.6,Ålesund-Trondheim,85,1.6,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
19016,3,63.506065,9.19075,Zone 3: Mid (63-66°N),Storskogøya,Occasional (3-5 years),Mid-Fjord,False,61.5,Trondheim,major,95,76.5,Ålesund-Trondheim,85,1.4,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
19098,0,67.22733,15.351017,Zone 4: Northern (66-69°N),Leivsethamran,Sporadic (0-2 years),Inner Fjord,False,41.8,Bodø,major,80,147.7,Bodø-Tromsø,75,1.5,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
19115,3,63.460682,9.1444,Zone 3: Mid (63-66°N),Fugløya S,Occasional (3-5 years),Mid-Fjord,False,63.0,Trondheim,major,95,71.0,Ålesund-Trondheim,85,1.5,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
19135,4,64.243385,10.26445,Zone 3: Mid (63-66°N),Sandøya III,Occasional (3-5 years),Mid-Fjord,False,66.0,Steinkjer,small,30,159.8,Trondheim-Bodø,80,1.1,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
19195,5,63.597218,8.51575,Zone 3: Mid (63-66°N),Korsholman,Occasional (3-5 years),Mid-Fjord,False,68.8,Kristiansund,medium,60,73.0,Ålesund-Trondheim,85,1.4,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
19235,3,67.533165,15.165583,Zone 4: Northern (66-69°N),Vindvika,Occasional (3-5 years),Inner Fjord,False,41.9,Bodø,major,80,120.7,Bodø-Tromsø,75,1.6,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
19278,5,68.17091,16.1532,Zone 4: Northern (66-69°N),Forsåstorvika,Occasional (3-5 years),Inner Fjord,False,64.5,Svolvær,medium,45,38.4,Bodø-Tromsø,75,2.0,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
19335,0,70.67173,27.13395,Zone 5: Arctic (69-71°N),Eidemolla,Sporadic (0-2 years),Mid-Fjord,False,55.4,Honningsvåg,small,20,53.7,Hammerfest-Kirkenes,50,1.8,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
19336,1,59.4293,5.114483,Zone 1: Southern (58-60°N),Flatholmen,Sporadic (0-2 years),Mid-Fjord,False,11.0,Haugesund,medium,65,32.9,Stavanger-Bergen,100,5.6,Very Close to Port (<20km),Moderate (30-60km),Medium Vessel Traffic
19355,6,59.29677,5.9888,Zone 1: Southern (58-60°N),Låva,Recurrent (6-8 years),Mid-Fjord,False,40.8,Haugesund,medium,65,48.1,Stavanger-Bergen,100,2.2,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
19356,1,64.53883,10.87705,Zone 3: Mid (63-66°N),Kvalrosskjæret,Sporadic (0-2 years),Mid-Fjord,False,30.2,Namsos,small,25,115.6,Trondheim-Bodø,80,2.0,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
19556,2,68.417534,16.79135,Zone 4: Northern (66-69°N),Pundsvik,Sporadic (0-2 years),Inner Fjord,False,44.3,Harstad,medium,50,5.2,Bodø-Tromsø,75,9.2,Close to Port (20-50km),On Shipping Lane (<10km),Medium Vessel Traffic
19635,4,68.8001,14.593767,Zone 4: Northern (66-69°N),Skatleia,Occasional (3-5 years),Inner Fjord,False,27.7,Stokmarknes,small,30,94.2,Bodø-Tromsø,75,2.3,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
19655,2,60.74618,5.2701,Zone 2: Western (60-63°N),Ospeneset,Sporadic (0-2 years),Mid-Fjord,False,38.6,Bergen,major,100,82.6,Bergen-Ålesund,90,1.9,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
19755,2,65.3523,12.43795,Zone 3: Mid (63-66°N),Klubben,Sporadic (0-2 years),Mid-Fjord,False,19.8,Brønnøysund,small,30,1.8,Trondheim-Bodø,80,20.3,Very Close to Port (<20km),On Shipping Lane (<10km),High Vessel Traffic
